"search-number","evaluation","evals-requested-so-far","scale*","init-percent-schizophrenia-inherited*","init-percent-schizophrenia-exhibited*","schizophrenia-inherit-threshold*","schizophrenia-via-social-interaction-threshold*","schizophrenia-exhibit-inherited-threshold*","schizophrenia-exhibit-uninherited-threshold*","stop-year*","stress-start-year*","stress-start-month*","stress-end-year*","stress-end-month*","inheretence-augmentation-by-shock*","use-stress?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","342","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""881201423""","5.709999999999274E13","9.867993717062145E13","8.186459389531872E13","1.3856908155978533E13","9.867993717062145E13"
"1","343","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""1684925388""","5.439999999999274E13","9.533572258077173E13","7.873836396969183E13","1.318474819940548E13","9.533572258077173E13"
"1","344","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""-1518081966""","5.709999999999274E13","9.881037394928627E13","8.242552210082736E13","1.319294123031489E13","9.881037394928627E13"
"1","345","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""1426803945""","5.069999999999274E13","8.791410580787383E13","7.280949970164886E13","1.1893915722873645E13","8.791410580787383E13"
"1","346","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""-1795107021""","5.609999999999274E13","9.810693145745517E13","8.149051974871172E13","1.3138408027693826E13","7.109999999999273E13"
"1","347","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""1632153645""","5.359999999999274E13","9.58413793723664E13","7.83130963603209E13","1.3245044262652979E13","9.58413793723664E13"
"1","348","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""883564028""","5.499999999999274E13","9.682174342572973E13","7.99196795103262E13","1.2797802467624635E13","6.969999999999275E13"
"1","349","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""-757088186""","5.499999999999274E13","9.824158997083569E13","8.094145492011647E13","1.3275535303692121E13","9.824158997083569E13"
"1","350","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""-1919258984""","6.029999999999274E13","1.0702079237231244E14","8.665457194843755E13","1.3854356818411787E13","1.0702079237231244E14"
"1","351","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""-1815590184""","5.389999999999274E13","9.548968530683233E13","7.705823488760298E13","1.3900107928721955E13","9.548968530683233E13"
"1","352","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""616331121""","5.589999999999274E13","1.005103477259817E14","8.009015034409178E13","1.4181193583092271E13","1.005103477259817E14"
"1","353","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""1222549719""","5.299999999999274E13","9.733498857038936E13","7.655840015547286E13","1.3535691347368348E13","9.733498857038936E13"
"1","354","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""1823541351""","5.549999999999274E13","9.964963622611862E13","8.025050733537055E13","1.410829185198045E13","7.199999999999273E13"
"1","355","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""1460697037""","565.6278935782474","1.0405580233700412E14","7.94703002621599E13","1.5537401001016389E13","1.0405580233700412E14"
"1","356","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""1698874850""","5.139999999999274E13","9.413824939947577E13","74660854149417","1.4040349314933828E13","9.413824939947577E13"
"1","357","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""915227527""","5.449999999999274E13","1.0101059350383872E14","8.095320352283952E13","1.4020077829860748E13","1.0101059350383872E14"
"1","358","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""1021519170""","5.329999999999274E13","9.28761002626506E13","7.692503956048388E13","1.2770319966660436E13","9.28761002626506E13"
"1","359","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""-1551113161""","5.679999999999274E13","1.0144259460403078E14","8.321032353568917E13","1.3988195205048951E13","7.389999999999273E13"
"1","360","500","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","""-1250628029""","5.319999999999274E13","9.41994692129308E13","7.774696409222531E13","1.2676167584871693E13","9.41994692129308E13"
"1","361","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""1377463088""","7.224956863324103","7.229999999999273E13","4.755883694418718E13","2.926201981514939E13","7.229999999999273E13"
"1","362","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""1498830147""","6.903224884723372","7.069999999999273E13","4.799600912205207E13","2.8591081648007992E13","7.069999999999273E13"
"1","363","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""-1196113661""","7.039007166918123","7.189999999999273E13","4.990228050173879E13","2.8372525447503246E13","7.189999999999273E13"
"1","364","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""1243676362""","7.050497621110506","7.239999999999273E13","4.522782212094536E13","2.90774909637314E13","7.239999999999273E13"
"1","365","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""-533624425""","7.007168618881433","7.189999999999273E13","5.1987685290766625E13","2.5523741902102734E13","7.189999999999273E13"
"1","366","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""1315779529""","6.518126932869426","6.939999999999275E13","4.2159179019445914E13","2.9344871484203074E13","6.939999999999275E13"
"1","367","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""-423773484""","6.185332740234151","7.169999999999273E13","4.3466590650018336E13","3.1043146272231098E13","7.169999999999273E13"
"1","368","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""-52868350""","7.238696940093732","6.849999999999275E13","4.7904675028515984E13","2.646989223651025E13","6.849999999999275E13"
"1","369","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""1301313257""","7.153642736900305","7.449999999999273E13","4.876693272522808E13","3.0723851804211387E13","7.449999999999273E13"
"1","370","500","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","""61154360""","7.111605149557115","7.129999999999273E13","4.4776624857516125E13","3.0947043271055926E13","7.119999999999273E13"
"1","371","500","5000","36","41","0.554","46.0001","0.3266","0.0412","1970","1944","1","1944","12","587","true","""-2107159739""","7.004606742739602","6.999999999999275E13","5.536488027366453E13","2.048684839052404E13","6.999999999999275E13"
"1","372","500","5000","36","41","0.554","46.0001","0.3266","0.0412","1970","1944","1","1944","12","587","true","""1212424587""","7.012789149307588","6.359999999999274E13","4.304960091226166E13","2.639901652457475E13","632.8747415943669"
"1","373","500","5000","36","41","0.554","46.0001","0.3266","0.0412","1970","1944","1","1944","12","587","true","""1185690313""","7.1546624440364095","6.969999999999275E13","5.0169783352373875E13","2.577840166302374E13","6.969999999999275E13"
"1","374","500","5000","36","41","0.554","46.0001","0.3266","0.0412","1970","1944","1","1944","12","587","true","""1265108400""","6.967425063683769","8.260217914799919E13","5.7416155916626305E13","2.2009807638139445E13","7.139999999999273E13"
